"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000059804",3443.39680712992,2.07976295761528,0.0543254346265041,38.2834112955373,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810361892,0.050576862713184,-38.3261831523929,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.0373620504396,0.0462973430589579,44.0060253100291,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491629,0.0435953841083739,44.7421105424238,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169455756,0.0653981296546727,38.5901203579336,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311458491,0.0865185430493065,44.5945224989065,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774847487,0.0581377315994265,-41.3963132420979,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912759373,0.0696221032201387,-42.0008731759757,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576631294,0.0404435481969184,-52.9712614699859,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041318334,0.06709755153128,37.7738137285348,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834751,0.035859027190446,-37.3387479597954,3.86076293870734e-305,2.3708301746112e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567914,0.0447581295674446,37.2705377056796,4.92667706975153e-304,2.90437466615992e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073537456,0.0488625138534154,36.9471521827641,8.09223093514588e-299,4.58704998162231e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005176,0.055046085171011,36.8352641927674,5.03516292093656e-297,2.748453004769e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.06349386339,2.5449370237062,0.0693613891171932,36.6909754273558,1.01726211413751e-294,5.35443179934235e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670766457,0.0589063478178093,-36.4661328912864,3.81870792586515e-291,1.9406937038414e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338128,4.43413656937962,0.12163638430902,36.454031370372,5.93855588351479e-291,2.91741455370803e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197543,0.060821960330067,-36.2808240642085,3.2464770793994e-288,1.54343803858672e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600337688,0.0694013568101066,36.2707030391992,4.68795720191233e-288,2.15909728880575e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338575905,0.0499749026868023,-36.2228496392271,2.65982817566174e-287,1.18789538342129e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315030905,0.053535184418773,36.1446994405143,4.50686653294125e-286,1.953594087132e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200622637,0.0781715112143636,-36.1399180128331,5.35776043290078e-286,2.21229818546017e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304155909,0.0909710035947895,36.1396809053934,5.40390383203733e-286,2.21229818546017e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587696819,0.0487932039128084,-35.7887110690388,1.65483773574232e-280,6.59162122955956e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.9221058483,2.3177820205721,0.0656155290168545,35.3236810752031,2.54304773454152e-273,9.86300987149286e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021857,-2.30515285904051,0.0653960001146804,-35.2491414612227,3.53644744667636e-272,1.33641442228503e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584697613,0.0743747822247613,-35.1930556121306,2.55367280440313e-271,9.40900744782332e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677069,0.0806594351553824,35.177968482433,4.34405880806449e-271,1.5615302125184e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642709,0.126316442577233,35.1424932958583,1.51368505290187e-270,5.31159293087328e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014088091,0.0861136721791638,-34.9774903875218,4.94845906628383e-268,1.69605557485793e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849885074,0.0690680719388022,-34.9512941520893,1.23760070811179e-267,4.14539982639809e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042992096,0.0676832760483661,34.8366770579493,6.77551978897699e-266,2.21905801444318e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927596072,0.049751462760773,34.8299161432293,8.57640482833686e-266,2.74780552956584e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019572904,0.0588365429526492,34.2452172513021,5.1383264973086e-257,1.61124799824115e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959607,0.0928701286630453,-34.2039042620608,2.11544739123759e-256,6.49530492751241e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757637325,0.0569242452764769,-33.8997481126144,6.71883756032122e-252,2.02086179518396e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840435,0.0418063482127212,33.7243088353586,2.54542429991501e-249,7.50289266642947e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888556673,0.0611321274507644,33.682925352551,1.02809855512287e-248,2.9710032363531e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.5467496154586,0.046024381663162,33.6071786206446,1.3176845427769e-247,3.73462207527808e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784325711,0.0564684067890063,-33.5341113896236,1.53476568319836e-246,4.2678069130146e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659194414,0.050960108433072,-33.4290221179863,5.19387080104051e-245,1.41754199751361e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591146561,0.0439328997861505,-33.3239080186355,1.73983423062632e-243,4.66212307108559e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619990506,0.0760092136681827,-33.2839412199321,6.59320121304104e-243,1.73518927638927e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662202549,0.0547035642300227,33.097781607287,3.19849460419189e-240,8.2700725397509e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483190764,0.0522701775758504,32.9854404914865,1.31368389240393e-238,3.33811607004294e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249166427,0.0567964576071425,-32.9413588538484,5.62516793214266e-238,1.40514788108336e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754698015,0.0515037591585348,32.7383393858686,4.4495142586059e-235,1.09294901905556e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.0572094615981,0.0629925111673943,32.6580005063037,6.16936916033825e-234,1.49056004401746e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085745,0.038987366070245,32.604785575079,3.50824732120833e-233,8.33944339031749e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.28548149972404e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862864531,0.0428974817470578,32.3715652315781,6.89936816203395e-230,1.58879512456338e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466013,0.0417126477006048,-32.0544158274744,1.90534235161045e-225,4.32014393508227e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199117186,0.0759164039670474,31.7791921785319,1.25506448825441e-221,2.80259703452932e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130955956,0.0449230264798751,-31.7122736643259,1.05241017016279e-220,2.31498822206853e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255613,0.0437425176330645,31.6113344036447,2.57950791693556e-219,5.59070407055827e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134863,2.98016310498422,0.0943819971500351,31.575546131396,7.99969814822715e-219,1.70868914939959e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777579068,0.137032426181791,31.5721460703845,8.90723870356541e-219,1.8753554859021e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534508,0.0474102565296004,31.4114291791543,1.41264585021401e-216,2.93233444231747e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909691587,0.0850915115396731,-31.3751518642506,4.41709377963485e-216,9.04154557281366e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.1418889891411,0.0363987405708363,31.371662074924,4.92872115505248e-216,9.9506153949539e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139993162,0.0432786262734422,-30.7505462748083,1.20239125433452e-207,2.39470841978137e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854245722,0.0685910534774257,30.6875085852118,8.35463562296959e-207,1.64174159748434e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585501794,0.0934444336636029,30.6666298105472,1.58630947173948e-206,3.07618802559163e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660591879,0.0625712944141773,-30.5292806198678,1.06537168190815e-204,2.03914907116395e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918576658,0.112997107796134,-30.4088241972167,4.19912694342105e-203,7.93419652463326e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899939,3.93391564265456e-202,7.33899351157504e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020398,0.0574719537534371,30.2794519161427,2.13753030988732e-201,3.93786521338991e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589574,0.0645262738254793,-30.1352336128221,1.67480462769316e-199,3.04731735838788e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883736548,0.0526625742445292,-30.056997024408,1.76883769777642e-198,3.17916219388157e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422255,-3.28311258392141,0.109401846194215,-30.009663439254,7.34103923047839e-198,1.30352091781675e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.5200728282666,0.0507616640054652,-29.9452915511782,5.06697878772009e-197,8.89013492540699e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680003982,0.112773758929552,-29.8265911499947,1.76651861159553e-195,3.06293544678764e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403930209,0.0515649228456557,29.8149198032131,2.50289887496583e-195,4.28927018828446e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585239,0.0564166006977757,29.7021595616705,7.20103889802112e-194,1.21907886632165e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.723040305874,0.0580113149313211,29.7017971048214,7.27907044621422e-194,1.21907886632165e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.7083605326273,0.057594129280922,-29.6620602474009,2.3707832291073e-193,3.92591047534644e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258607,1.39132775321912,0.0469878368635234,29.6103810281848,1.09850686785919e-192,1.79886602427875e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994833651,0.0872303195121891,-29.5795081660335,2.74196090048848e-192,4.44077140125265e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043073371,0.0663760809318079,29.4800537070577,5.18783714556911e-191,8.31068954906495e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183330411,0.0557716978582046,-29.4545781532532,1.09997838642775e-190,1.74317004937336e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776100501,0.0460501455330996,-29.4445923092774,1.47654928222037e-190,2.31504077886849e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884482381,0.105364403459738,-29.4263408040702,2.52835273795791e-190,3.92240659494986e-188,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865393708,0.0824494795952752,29.3531101204885,2.18081479715251e-189,3.34800505004517e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.7411941241085,0.0593370017338511,29.3441541235672,2.83728974248515e-189,4.31092538399444e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040791743,0.0659490987226733,29.149760120323,8.4127077151845e-187,1.26516822761622e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734391,0.0635784335350293,29.0450998030092,1.77448085092238e-185,2.64164634150445e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330930244,0.0520551629540585,-28.9624164779393,1.95794218320579e-184,2.88561518960869e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249992919,0.0673374972021692,-28.9326538834656,4.63888243572297e-184,6.76909399383021e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136368286,0.0486375323955813,-28.8487366561042,5.25517424801539e-183,7.59321157522066e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787419801,0.0409964039469304,-28.8071089290366,1.74736602275175e-182,2.50026023721508e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936537479,0.0644924710576952,28.7838151481916,3.42010655189063e-182,4.84668561170809e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.68630819028892,0.0934361677058089,-28.7501965913989,9.00646604836958e-182,1.26416472972258e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816428662,0.0561603395734877,-28.7348363016033,1.40127730633022e-181,1.94830423968819e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609595001,0.0513457655234823,-28.7302386265008,1.59942899186525e-181,2.20302658711309e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272046564,0.0824391276520796,28.7214674378703,2.0583633292202e-181,2.80890358759697e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850793,0.135042980219029,28.6078863354612,5.36043162873216e-180,7.24789370130776e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050217,0.0428453764848052,-28.5957524713706,7.58762243067145e-180,1.01660344893851e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647597014,0.0890287120314511,-28.4493217769496,4.96813416489422e-178,6.59642894794694e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347830634,0.0451331141720673,28.4446021919063,5.68293433203303e-178,7.47813269513418e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816261,0.0530931785067062,28.3665606490743,5.23014314902361e-177,6.82140263100088e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351551,0.072450535496314,28.3074730844446,2.7963049434448e-176,3.61508265407803e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792717334,0.0556189550747604,28.2741364892518,7.18929718304802e-176,9.21355320728362e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530643279,0.0365228225332461,-28.2049752725187,5.08112836891257e-175,6.45566119836495e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373494476,0.114651721630663,-28.2019640783135,5.53209165198134e-175,6.9685441681112e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574458,0.0659124211826838,-28.1195846319707,5.64498694430583e-174,7.05049301569316e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031436501,0.0552347196715622,28.0352706336313,6.0405696522176e-173,7.48116937263722e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804937764,0.0590533741688707,-27.9348652400499,1.00678150599762e-171,1.23649548628274e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841444062,0.0952230064718677,27.8855763205198,3.99157031973426e-171,4.86179862580525e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530130325,0.0844340378394154,27.8775640906806,4.99214111052648e-171,6.03067013827371e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441894,0.0461355795180456,-27.8678973549263,6.53811665312544e-171,7.83404579136282e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486102,0.101922368589604,27.8074528102176,3.52494702560966e-170,4.18957010188993e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241764279,0.0682347230439881,-27.7146639317885,4.64843954456812e-169,5.4806961606276e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737940807,0.0770835742314843,27.6591660501549,2.16519603485136e-168,2.5325919969555e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497317,0.0824087393200425,27.6420114391818,3.48150541947277e-168,4.0401910922984e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.8308846102622,0.102927884380587,27.5035732765545,1.59110545872342e-166,1.83200876958326e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242131309,0.0575011780862586,-27.4669576150914,4.35859124091717e-166,4.97960602392537e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970820214,0.0634971543430458,-27.4390203187579,9.39451625514858e-166,1.06504908129523e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170306614,0.124605048027756,27.3907177685601,3.53780468928935e-165,3.98016530616385e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.92368811932,-2.7923008238261,0.102045843540643,-27.3631999789779,7.52222719719687e-165,8.39868063880966e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868098461,0.0744625121996938,-27.3628785921218,7.58875919593328e-165,8.40925812253118e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.3292374174235,0.121688979434653,-27.3585778506041,8.53773959687961e-165,9.3902392670755e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742293018,0.0550770505547765,-27.3447362877998,1.24733040330314e-164,1.36171522102827e-162,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249198754,0.0744909386372608,27.2869764990558,6.054928511691e-164,6.56158355921338e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117032,27.2855920323941,6.28835886243668e-164,6.76480532223298e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943568176,0.0788327303769641,27.0366055506377,5.48948079080681e-161,5.86260636919644e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103190832,0.114589406974419,-27.0326997381168,6.10171600463847e-161,6.46957485441451e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.637006535011,-3.02314009594939,0.111928825299871,-27.0094865004617,1.14349429838747e-160,1.20377278354533e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146028316,0.0649482698803225,-26.8589365582419,6.63276590734887e-159,6.93288680443316e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751217893,0.0535105825047977,-26.8460451173398,9.38082730222553e-159,9.7362417450845e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343926102,0.0754066733614869,-26.8434257742346,1.00651688532931e-158,1.03734586405478e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861200914,0.0641522045590947,26.8166717548173,2.06535433556301e-158,2.11383279149497e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.368601416682,0.0510598837578137,-26.8038490485706,2.91409366618258e-158,2.96192499670337e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979422359,0.0813913267330282,26.7820894648105,5.22457053545174e-158,5.27395346243066e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763037828,0.0775868057462802,-26.6672614045266,1.1288843221896e-156,1.13180252655989e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.5457970255569,0.0580504851149252,-26.6284945336221,3.17635838526843e-156,3.16305201905988e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307007012,0.102236932777874,-26.6096898268734,5.24357783305573e-156,5.18656712104532e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150542,26.5933696049238,8.09914671383474e-156,7.95768161789976e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844396,-1.01647209044508,0.0383140631821118,-26.529999849237,4.36998743820959e-155,4.2652235009492e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182549,0.0415181800726572,26.4886216086761,1.31080330857588e-154,1.27096178695995e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531553,0.113333402790753,-26.4103059787396,1.04332636589705e-153,1.00500287454841e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157115011,0.0509516578474075,-26.3952465526799,1.55362893490512e-153,1.48684306770335e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979282,0.106412973371333,26.3897768366403,1.79527756360837e-153,1.7070194020942e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.3244636548693,0.0502228267626504,26.3717464795166,2.89069139747932e-153,2.73096216769552e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059226944,0.0652353702747852,26.3653074248624,3.42645978284395e-153,3.2165072789525e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326173764,0.0638947451430896,26.2751382445918,3.69001843707179e-152,3.4419931471876e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193009457,0.0382024974646936,-26.262731409689,5.1141782604487e-152,4.74042510707503e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339127,0.134086229212053,26.1601163967699,7.56113136272478e-151,6.96474712648987e-149,"RIPOR3","140876","RIPOR family member 3"
